Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
38846,2021,Peter Weiss,GR,George Fox,5,1516.0,1516.0,11.23397624273,7,0
39236,2021,Danny Jagoe,GR,Ithaca,6,1527.0,1538.4,12.335088163446539,7,0
40647,2021,Ethan Carey,GR,Brockport St.,5,1531.0,1531.0,43.53980937027634,7,0
41018,2021,Luke Collins,GR,U. Of Chicago,5,1562.1,1562.1,25.663000603982436,35,0
42727,2021,Benjamin White,GR,Whittier,7,1454.5,1454.5,17.25714827735645,35,0
43509,2021,Vincent Giumenti,JR,Mount Union,4,1510.5,1510.5,18.785948871430485,7,0
43861,2021,Jason Cave,GR,Salisbury,6,1508.0,1508.0,48.68713040082223,21,0
43912,2021,Luke Witvliet,GR,Calvin,5,1546.6,1546.6,27.732839739197303,22,0
43914,2021,Nick Henz,GR,Calvin,5,1534.7,1534.7,30.852772970998885,35,0
43915,2021,Thaine Nederveld,GR,Calvin,4,1536.6,1536.6,27.918307165729107,22,0
44873,2021,Timothy Boyce,GR,St. Lawrence,7,1512.4,1512.4,30.327321015876066,49,0
45165,2021,Nicholas Garrett,GR,Elizabethtown,4,1537.7,1537.7,27.16652351700528,21,0
45969,2021,Mason Shea,GR,Wis.-Eau Claire,6,1523.4,1523.4,29.921550204938686,7,0
46552,2021,Julian Watson,GR,Loras,7,1511.4,1511.4,30.564135845791533,35,0
46787,2021,Joe Lemna,GR,U. Of Chicago,5,1523.8,1523.8,32.42568426417556,35,0
47279,2021,Benjamin Steeves,GR,WPI,5,1572.2,1572.2,40.75720795147772,21,0
